zooplankton ökoloogia,LTOM.04.006
farmakognoosia ii,ARFA.01.105
praktika teenindusettevõte,SVPC.02.001
meditsiiniõigus,MVPT.04.002
rahvakunst alune,HVVK.01.052
elektroonika,LOTI.05.065
praktiline harmoniseerimine klaver ii,P2VK.02.045
geneetika,LTMR.03.001
arvutiteadus matemaatiline alune,MTAT.05.008
soome keel oskus hindamine,FLEE.06.177
vene kultuur retseptsioon kinolina,FLGR.05.401
inglise keel didaktika ii,FLGR.01.381
üldine neurokeemia,LOKT.10.007
aegrida analüüs,MTMS.01.023
populatsioonigeneetika matemaatiline alune,MTMS.02.007
menetluspraktika informaatika,MTAT.03.237
koolirobootika i,MTAT.03.298
programmeerimine,LTAT.03.001
kaks aine õpetaja põhipraktika,SVHI.01.020
"eesti keel arstiteadus tudeng iii , tase a2 . 1 > b1 . 1",HVLC.09.003
bakalaureusetöö saksa keel või kirjandus,FLGR.04.698
kõrgem matemaatika,LTMS.00.002
kõrgem matemaatika i,MTMM.00.340
kõrgem matemaatika,LTMS.00.003
saksa kultuur ja interkultuurilisus,FLGR.04.732
inglise keel kõnelev maa ajalugu,FLGR.01.138
kliiniline farmaatsia,MVFA.00.016
põhipill iii,P2VK.02.670
inimene füsioloogia,ARFS.01.032
orgaaniline keemia i,LOKT.09.004
praktika turismiorganisatsioon,SVPC.02.002
arenguseminar,FLFI.00.108
disain alune,HVVK.01.097
tarkvaraprojekt,LTAT.05.005
perekond ja kasvatustegevus,SVHI.01.047
euroopa liit kriminaalõigus,OIAO.01.051
ettevõtlusprojekt,LTOM.02.029
kunstiõpetus didaktika,HVVK.14.061
uroloogia,ARKI.02.029
haldusõigus,P2OG.02.154
praktiline õigusabi osutamine iii,OIAO.02.036
arvutigraafika,MTAT.03.015
pinnas remediatsioon tehnoloogia,LOKT.04.038
roheline tehnoloogia,LOKT.04.036
pidev pedagoogiline praktika,SHHI.01.031
stomatoloogia propedeutika ( õpetus hambaravimaterjal ),ARST.01.047
eesti teater ajalugu,FLKU.05.148
rahvusvaheline õigus ajalugu ja teooria,OIAO.07.064
analüütiline keemia praktikum i,LOKT.06.012
materjal keemia iii,LOKT.02.044
"õppimine , õpetamine ja juhendamine",SVHI.01.070
"hea teadus : raamnõue , väärtus ja tegevuspõhimõte",HVFI.01.002
prantsuse kontrastiivne lingvistika,FLGR.03.297
inglise keel õpetaja lisaeriala põhipraktika,HVLC.01.004
inglise keel õpetaja peaeriala põhipraktika,HVLC.01.005
uurimistöö planeerimine,ARFA.02.040
grammatika ja stiiliviga parandamine ja analüüs,P2NC.00.869
akadeemiline väljendusoskus inglise keel i,FLGR.01.379
prantsuse keel akadeemiline väljendusoskus,FLGR.03.141
ettevõtlus alune,MJCV.00.014
antiikkirjandus lühivorm,FLGR.02.538
ladina keel morfoloogia ja süntaks,FLGR.02.539
kommunikatsioon ja võim,FLSE.00.276
eestikeelne kommunikatsioon arvutiteadus,MTAT.06.054
kolm aine õpetaja põhipraktika,SVHI.01.021
informaatika kool,MTAT.03.312
eesti ajalugu historiograafia,FLAJ.03.009
funktsionaalne ja loogiline programmeerimine,P2NC.01.088
erikursus eesti keel didaktika,FLEE.02.166
bakalaureusetöö seminar,P2NC.01.027
eesti keel võõrkeel grammatika erikursus,FLEE.04.220
